Title,number of examinations,Subtitle,Questions
36_97,36,97,"緑内障と治療の組合せで正しいのはどれか．
ａ　初期の落屑緑内障　　　　　　　　　　　　　　低侵襲緑内障手術による流出路再建術
ｂ　初期の原発開放隅角緑内障　　　　　　　　　　毛様体破壊術
ｃ　隅角結節を伴うぶどう膜炎続発緑内障　　　　　線維柱帯切開術
ｄ　プラトー虹彩に伴う原発閉塞隅角緑内障　　　　周辺虹彩切除術
ｅ　周辺虹彩前癒着を伴うぶどう膜炎続発緑内障　　隅角癒着解離術"
36_98,36,98,"線維柱帯切開術（眼内法）の術後合併症で頻度が高いのはどれか．2 つ選べ．
ａ　浅前房　　
ｂ　前房出血　　
ｃ　脈絡膜剝離　　
ｄ　角膜内皮障害　　
ｅ　一過性眼圧上昇"
36_99,36,99,"液体パーフルオロカーボンで浮上させられないのはどれか．
ａ　水晶体　　　　　　　　　
ｂ　ガラス　　
ｃ　アクリル眼内レンズ
ｄ　シリコーン眼内レンズ　　
ｅ　ポリメチルメタクリレート眼内レンズ"
36_100,36,100,"網膜に対して毒性がある薬剤はどれか．2 つ選べ．
ａ　ブリリアントブルー G　　　　　
ｂ　インドシアニングリーン　　
ｃ　フルオレセインナトリウム
ｄ　トリアムシノロンアセトニド　　
ｅ　組織プラスミノーゲンアクチベーター"
35_1,35,1,"中心窩に存在するのはどれか．3 つ選べ． 
ａ　視細胞　　
ｂ　内顆粒層　　
ｃ　外顆粒層　　
ｄ　外網状層　　
ｅ　神経節細胞層 "
35_2,35,2,"神経堤に由来する組織はどれか． 
ａ　水晶体　　
ｂ　脈絡膜　　
ｃ　視神経　　
ｄ　神経網膜　　
ｅ　網膜色素上皮 "
35_3,35,3,"眼運動神経核で正しいのはどれか．2 つ選べ． 
ａ　外転神経核は橋にある． 
ｂ　滑車神経核は対側の上斜筋を支配する． 
ｃ　動眼神経下直筋副核は対側の下直筋を支配する． 
ｄ　傍正中橋網様体（PPRF）は対側の外転神経核に信号を送る． 
ｅ　内側縦束（MLF）は外転神経核と同側の動眼神経核をつなぐ経路である． "
35_4,35,4,"隅角所見で正しいのはどれか． 
ａ   隅角血管は異常所見である． 
ｂ   強膜岬は角膜の Descemet 膜の終端である． 
ｃ    Sampaolesi 線は落屑緑内障で特徴的である． 
ｄ    Schwalbe 線は Schlemm 管への房水流出経路である． 
ｅ    ステロイド緑内障では周辺虹彩前癒着が特徴的である． "
35_5,35,5,"錐体細胞と杆体細胞の細胞数の比で正しいのはどれか． 
ａ 1：2　　
ｂ 1：5　　
ｃ 1：10　　
ｄ 1：20　　
ｅ 1：40 "
35_6,35,6,"スペキュラマイクロスコピーにおける CV 値はどれか． 
ａ　細胞密度　　　　　　
ｂ　平均細胞面積　　
ｃ　細胞の大小不同 
ｄ　六角形細胞出現率　　
ｅ　細胞面積の標準偏差 "
35_7,35,7,"外眼筋と前眼部血管の解剖で正しいのはどれか． 
ａ　短後毛様動脈は虹彩に分布する．　　　　　　　
ｂ　下斜筋起始部は総腱輪ではない． 
ｃ　上斜筋は上直筋の下を通って鼻側に向かう．　　
ｄ　上直筋付着部は鼻側より耳側が角膜輪部に近い． 
ｅ　前毛様動脈は直筋の中を各 2 本ずつ通っている． "
35_8,35,8,"Goldmann 圧平眼圧計で正しいのはどれか． 
ａ　涙液量が多いと眼圧は低めに測定される． 
ｂ　中心角膜厚が薄いと眼圧は低めに測定される． 
ｃ　角膜曲率半径が小さいと眼圧は低めに測定される． 
ｄ　フルオレセイン量が少ないと眼圧は高めに測定される． 
ｅ　角膜乱視が強い眼では圧平プリズムの 0 度を白線に合わせる． "
35_9,35,9,"眼内液中のサイトカインを用いた検査が最も有用な疾患はどれか． 
ａ　眼内リンパ腫　　　　
ｂ　急性網膜壊死　　
ｃ　真菌性眼内炎　　 
ｄ　サルコイドーシス　　
ｅ　眼トキソプラズマ症 "
35_10,35,10,"多発血管炎性肉芽腫症の眼合併症はどれか．2 つ選べ． 
ａ　強膜炎　　
ｂ　緑内障　　
ｃ　網膜炎　　
ｄ　白内障　　
ｅ　角膜潰瘍 "
35_11,35,11,"自動視野計で誤っているのはどれか． 
ａ　視野の閾値は年齢とともに上昇する． 
ｂ　標準の視標サイズとして Goldmann サイズⅢが用いられる． 
ｃ　各測定点の dB 値は最高視標輝度を基準とした対数表現である． 
ｄ　エスターマンテストは，10 dB の単一輝度による閾上刺激である． 
ｅ　プログラム 30­2 は 3 度間隔，10­2 は 1 度間隔で検査視標が配置されている． "
35_12,35,12,"眼底自発蛍光の所見で誤っているのはどれか． 
ａ　網膜主幹血管部は低蛍光となる． 
ｂ　正常者では黄斑部は低蛍光となる． 
ｃ　過蛍光は網膜色素上皮細胞の機能低下を示唆する． 
ｄ　視細胞の機能が低下した部分では強い過蛍光を生じる． 
ｅ　自発蛍光は主に網膜色素上皮細胞内のリポフスチンに由来する． "
35_13,35,13,"検影法で誤っているのはどれか． 
ａ　乱視軸および乱視度数を決定することができる． 
ｂ　反射光が同行する場合は前置レンズの＋度数を強める． 
ｃ　被験眼とスキアスコープとの検査距離を一定にすることが正確な検査の基本である． ｄ　検査者の屈折異常が検査結果に影響するため，検査者は完全矯正である必要がある． ｅ　裸眼で中和している場合，検査距離が 50 cm であれば被験眼の屈折度数は－2.00 D である． "
35_14,35,14,"学校伝染病のうち，第三種感染症はどれか． 
ａ　水痘　　
ｂ　麻疹　　
ｃ　咽頭結膜熱　　
ｄ　インフルエンザ　　
ｅ　流行性角結膜炎 "
35_15,35,15,"空気感染する疾患はどれか．2 つ選べ． 
ａ　結核　　
ｂ　水痘　　
ｃ　咽頭結膜熱　　
ｄ　インフルエンザ　　
ｅ　新型コロナウイルス感染症"
35_16,35,16,"医療機関のウェブ広告の内容で許容されるのはどれか． 
ａ    ○○学会認定○○専門医を取得しています． 
ｂ　当院の○○手術の患者満足度は 97.5％です． 
ｃ　有名人の○○さんも当院で治療を受けました． 
ｄ　当院は○○手術において全国トップクラスの実績を有しています． 
ｅ　厚生労働省の医療広告ガイドラインに基づき，認定証を取得しています． "
35_17,35,17,"VDT 作業者の配置前健康診断に含まれない検査はどれか． 
ａ　眼位　　
ｂ　眼底　　
ｃ　屈折　　
ｄ　視力　　
ｅ　調節機能 "
35_18,35,18,"世界の失明・視覚障害問題で正しいのはどれか． 
ａ　視覚障害は男性に多い．　　　　　　
ｂ　今後減少が見込まれている．　　 
ｃ　失明の最大原因は緑内障である．　　
ｄ　予防や治療が困難な疾患によるものが多い．　　 
ｅ　視覚障害の最大原因は未矯正の屈折異常である． "
35_19,35,19,"指定難病でない疾患はどれか． 
ａ　無虹彩症　　　　　　　　　
ｂ　網膜色素変性　　
ｃ　黄斑ジストロフィ　　 
ｄ　顆粒状角膜ジストロフィ　　
ｅ    Leber 遺伝性視神経症 "
35_20,35,20,"身体障害者診断書・意見書で正しいのはどれか．2 つ選べ． 
ａ　等級判定に左右各眼の矯正視力の和を用いる． 
ｂ　視野検査に自動視野計を用いることはできない． 
ｃ    I/4 指標による中心部と連続しない周辺部の視野は無視できる． 
ｄ    Goldmann 視野検査の中心 30 度内は矯正レンズを装用せずに測定する． 
ｅ　視力障害と視野障害の両方に該当する場合は合計指数によって等級を認定する． "
35_21,35,21,"甲状腺眼症で誤っているのはどれか． 
ａ　禁煙を勧める．　　　　　　　　　　　　
ｂ　視神経症を生じる． 
ｃ　甲状腺ホルモンが低値でも発症する．　　
ｄ　外眼筋の収縮障害のため複視を生じる．　　 
ｅ　副腎皮質ステロイドが治療に用いられる． "
35_22,35,22,"転移が最もまれな眼瞼腫瘍はどれか． 
ａ　脂腺癌　　
ｂ　悪性黒色腫　　
ｃ　基底細胞癌　　
ｄ　扁平上皮癌　　
ｅ    Merkel 細胞癌 "
35_23,35,23,"アレルギー性結膜疾患で正しいのはどれか． 
ａ　春季カタルでは遷延性角膜上皮欠損を生じる． 
ｂ　季節性アレルギー性結膜炎は高齢者に好発する． 
ｃ　涙液中総 IgE 測定により，原因抗原を特定することが可能である． 
ｄ　免疫抑制点眼薬は眼圧上昇を起こすことがあるため，注意を要する． 
ｅ　季節性アレルギー性結膜炎はⅣ型アレルギー反応を主体とした炎症反応である．"
35_24,35,24,"季節性アレルギー性結膜炎の治療薬で正しいのはどれか．2 つ選べ． 
ａ　シクロスポリン点眼薬　　　　
ｂ　フルオロメトロン点眼薬　　
ｃ　オロパタジン塩酸塩点眼薬 
ｄ　タクロリムス水和物点眼薬　　
ｅ　セフメノキシム塩酸塩点眼薬 "
35_25,35,25,"上輪部角結膜炎（superior limbic keratoconjunctivitis：SLK）の病態に関連しない所見はどれか． 
ａ　眼脂　　
ｂ　涙液減少　　
ｃ　結膜弛緩　　
ｄ　眼球突出　　
ｅ　強い上眼瞼圧 "
35_26,35,26,"角膜浮腫を生じないのはどれか． 
ａ　低眼圧　　　　　　　　　　
ｂ　緑内障発作　　
ｃ　感染性眼内炎 
ｄ　顆粒状角膜ジストロフィ　　
ｅ    Fuchs 角膜内皮ジストロフィ "
35_27,35,27,"角膜内にアミロイドが沈着する角膜ジストロフィはどれか．2 つ選べ． 
ａ　斑状角膜ジストロフィ　　　　　
ｂ　膠様滴状角膜ジストロフィ 
ｃ　顆粒状角膜ジストロフィⅠ型　　
ｄ　格子状角膜ジストロフィⅠ型 
ｅ    Meesmann 角膜ジストロフィ "
35_28,35,28,"角膜上皮ステムセル疲弊の要因となるのはどれか．2 つ選べ． 
ａ　翼状片　　
ｂ　化学外傷　　
ｃ　放射線角膜炎　　
ｄ    Sjögren 症候群　　
ｅ　角膜上皮基底膜ジストロフィ "
35_29,35,29,"角膜後面コインリージョンを生じるのはどれか． 
ａ　麻疹ウイルス　　　　　　
ｂ　アデノウイルス　　
ｃ　単純ヘルペスウイルス 
ｄ　水痘帯状疱疹ウイルス　　
ｅ　サイトメガロウイルス "
35_30,35,30,"Meibom 腺あるいは眼瞼縁の炎症と関連する疾患はどれか．2 つ選べ． 
ａ　糸状角膜炎　　　　　
ｂ    Mooren 角膜潰瘍　　
ｃ　フリクテン角膜炎 
ｄ　カタル性角膜潰瘍　　
ｅ    Thygeson 点状表層角膜炎 "
35_31,35,31,"薬剤性角膜上皮障害の所見として認められるのはどれか． 
ａ epithelial crack line　　　　
ｂ filamentary keratitis 
ｃ lid­wiper epitheliopathy　　
ｄ beaten­metal appearance 
ｅ superior limbic keratoconjunctivitis "
35_32,35,32,"青色強膜を合併しないのはどれか． 
ａ Turner 症候群　　　　 
ｂ Ehlers­Danlos 症候群　　
ｃ van der Hoeve 症候群 
ｄ Axenfeld­Rieger 症候群　　
ｅ Bloch­Sulzberger 症候群 "
35_33,35,33,"70 歳の女性．最近，老眼鏡が要らなくなったと喜んでいる．視力低下の自覚はなく，眼科手術，外傷の既往はない． 生じている変化はどれか． 
ａ　調節力の回復　　　
ｂ　眼軸長の延長　　
ｃ　核白内障の進行　　 
ｄ　水晶体の菲薄化　　
ｅ　角膜屈折力の増加 "
35_34,35,34,"水晶体偏位を来すのはどれか．2 つ選べ． 
ａ Alport 症候群　　 
ｂ Marfan 症候群　　
ｃ Stickler 症候群　　 
ｄ Werner 症候群　　
ｅ Ehlers­Danlos 症候群 "
35_35,35,35,"網膜血管線条を合併する疾患はどれか． 
ａ Behçet 病　　　　　　　 
ｂ 線状皮膚萎縮症　　
ｃ Weber­Christian 病 
ｄ 弾性線維性仮性黄色腫　　
ｅ Klippel­Trénaunay­Weber 症候群 "
35_36,35,36,"全視野 ERG で異常所見を呈するのはどれか． 
ａ Stargardt 病　　　　　　　 
ｂ 先天網膜分離症　
ｃ 卵黄状黄斑ジストロフィ 
ｄ オカルト黄斑ジストロフィ　　
ｅ 中心性輪紋状脈絡膜ジストロフィ "
35_37,35,37,"糖尿病網膜症の眼底所見はどれか．3 つ選べ． 
ａ　輪状網膜症　　
ｂ　地図状萎縮　　
ｃ　網膜細動脈瘤　　
ｄ　数珠状静脈拡張　　
ｅ　網膜内細小血管異常 "
35_38,35,38,"多発消失性白点症候群（MEWDS）で正しいのはどれか．2 つ選べ． 
ａ 男性に好発する．　　　　　　　　　
ｂ 20～50 歳に多い． 
ｃ 副腎皮質ステロイドが著効する．　　
ｄ 眼底自発蛍光検査では病変部が低蛍光となる． 
ｅ OCT では病変部の ellipsoid zone の欠損がみられる． "
35_39,35,39,"後部硝子体が未剝離であることが多いのはどれか．2 つ選べ． 
ａ　黄斑上膜　　　　　　　　　　　　　　
ｂ　星状硝子体症　　
ｃ　強度近視に伴う黄斑円孔 
ｄ　増殖糖尿病網膜症に伴う硝子体出血　　
ｅ　高齢者の弁状裂孔を伴った網膜剝離 "
35_40,35,40,"加齢黄斑変性で正しいのはどれか．2 つ選べ． 
ａ　日本では滲出型が多い．　　　　　　　　
ｂ　日本では女性で頻度が高い． 
ｃ　日本の社会的失明原因で最多である．　　
ｄ　前駆病変として軟性ドルーゼンが重要である． 
ｅ　網膜色素上皮のリポフスチンは加齢とともに減少する． "
35_41,35,41,"症状の自然寛解が期待できないのはどれか． 
ａ　特発性黄斑円孔　　　　　　　　　 
ｂ　中心性漿液性脈絡網膜症　　
ｃ　オカルト黄斑ジストロフィ 
ｄ　多発消失性白点症候群（MEWDS）　　
ｅ　急性帯状潜在性網膜外層症（AZOOR）"
35_42,35,42,"遺伝することがある眼内腫瘍はどれか．2 つ選べ． 
ａ　脈絡膜骨腫　　　
ｂ　眼内リンパ腫　　
ｃ　網膜芽細胞腫 
ｄ　網膜血管芽腫　　
ｅ　ぶどう膜悪性黒色腫 "
35_43,35,43,"ERG①a 波，②b 波，③c 波の発生機序で正しい組合せはどれか． 
ａ　①Müller 細胞，②神経節細胞，③視細胞 
ｂ　①双極細胞，②水平細胞，③アマクリン細胞 
ｃ　①視細胞，②双極細胞，③網膜色素上皮細胞 
ｄ　①神経節細胞，②双極細胞，③網膜色素上皮細胞 
ｅ　①網膜色素上皮細胞，②神経節細胞，③Müller 細胞 "
35_44,35,44,"網膜色素変性に比較的高頻度にみられる合併症はどれか．2 つ選べ． 
ａ　黄斑前膜　　
ｂ　黄斑浮腫　　
ｃ　網膜下出血　　
ｄ　網膜静脈閉塞症　　
ｅ　裂孔原性網膜剝離 "
35_45,35,45," Coats 病で正しいのはどれか． 
ａ　女児に多い．　　　　　　　　
ｂ　両眼性が多い．　　
ｃ　家族性にみられる． 
ｄ　治療は網膜光凝固を行う．　　
ｅ　裂孔原性網膜剝離を起こす． "
35_46,35,46,"未熟児網膜症の治療の適応とならないのはどれか． 
ａ ZoneⅠ stage 1 with plus disease　　
ｂ ZoneⅠ stage 3 without plus disease 
ｃ ZoneⅡ stage 2 with plus disease　　
ｄ ZoneⅡ stage 3 with plus disease 
ｅ ZoneⅢ stage 2 without plus disease "
35_47,35,47,"Behçet 病で正しいのはどれか．2 つ選べ． 
ａ　近年，症例数は増加傾向にある． 
ｂ　最も頻度の高い症状は口腔内のアフタ性潰瘍である． 
ｃ　炎症寛解期も副腎皮質ステロイドの点眼は継続する． 
ｄ　診断が確定次第，TNF­α阻害薬による治療を開始する． 
ｅ　眼内炎症の活動性評価にフルオレセイン蛍光眼底造影検査は有用である． "
35_48,35,48,"Posner­Schlossman 症候群で正しいのはどれか． 
ａ　視野障害を生じることが多い．　　
ｂ　硝子体混濁を伴うことが多い． 
ｃ　通常，虹彩後癒着は生じない．　　
ｄ　高眼圧に対する薬物療法の効果は乏しい． 
ｅ　寛解期における患眼の眼圧は健眼より高いことが多い． "
35_49,35,49,"ぶどう膜炎を来す疾患はどれか．2 つ選べ． 
ａ　炎症性腸疾患　　　　
ｂ    IgG4 関連疾患　　
ｃ　自己免疫性肝炎 
ｄ　尿細管間質性腎炎　　
ｅ　自己免疫性溶血性貧血 "
35_50,35,50,"内因性真菌性眼内炎の原因病原体で頻度の高いのはどれか．2 つ選べ． 
ａ　カンジダ　　　　　　
ｂ　フサリウム　　
ｃ　アスペルギルス 
ｄ　クリプトコッカス　　
ｅ　ニューモシスチス・カリニ "
35_51,35,51,"Vogt­小柳­原田病で誤っているのはどれか． 
ａ　発症に好中球が関与する．　　　
ｂ　急性期に前房が浅くなる． 
ｃ　急性期に脈絡膜が厚くなる．　　
ｄ　慢性期に脈絡膜が薄くなる． 
ｅ　慢性期に脈絡膜新生血管を生じる． "
35_52,35,52,"サルコイドーシスによるぶどう膜炎に対して保険適用のある薬剤はどれか．2 つ選べ． 
ａ　アダリムマブ　　　　
ｂ　シクロスポリン　　
ｃ　インフリキシマブ 
ｄ　メトトレキサート　　
ｅ　タクロリムス水和物 "
35_53,35,53,"IgG4 関連眼疾患で正しいのはどれか． 
ａ　再発はまれである．　　　　　　　　　　　
ｂ　涙腺の腫大は片側のことが多い． 
ｃ　耳前リンパ節の腫脹を伴うことが多い．　　
ｄ　病理組織学的に類上皮細胞がみられる． 
ｅ　画像検査で悪性リンパ腫との鑑別は困難である． "
35_54,35,54,"黄斑病変を生じる薬剤はどれか．2 つ選べ． 
ａ　フェノチアジン　　　　　　　
ｂ　アミオダロン塩酸塩　　
ｃ　エタンブトール塩酸塩 
ｄ　タモキシフェンクエン酸塩　　
ｅ　ヒドロキシクロロキン硫酸塩 "
35_55,35,55,"動的検影法（他覚的調節検査）で用いるのはどれか．2 つ選べ． 
ａ　調節視標　　
ｂ　前置レンズ　　
ｃ　線条検影器　　
ｄ　プリズムバー　　
ｅ　クロスシリンダー "
35_56,35,56,"調節力が 1.50 D で正視の患者が＋2.50 D の近用眼鏡を装用するときの調節域の幅はどれか． 
ａ 10 cm　　
ｂ 15 cm　　
ｃ 20 cm　　
ｄ 25 cm　　
ｅ 30 cm "
35_57,35,57,"屈折矯正手術のガイドライン（第 7 版）で誤っているのはどれか． 
ａ　適応は 15 歳以上とする． 
ｂ　妊娠中または授乳中の女性は禁忌である． 
ｃ　ドライアイ患者には慎重に実施しなければならない． 
ｄ　エキシマレーザー手術による近視矯正では，原則として矯正量の限度を 6 D とする． ｅ　有水晶体眼内レンズ手術による近視矯正では，原則として術後 6 か月まで経過観察を行う．"
35_58,35,58,"乳児の片眼性の先天白内障の手術後の視力予後を左右する要因で誤っているのはどれか． 
ａ　手術の時期　　　　　　　　　　
ｂ　後眼部の異常　　
ｃ　白内障の形態と程度 
ｄ　健眼遮閉のコンプライアンス　　
ｅ　コンタクトレンズと眼内レンズの選択 "
35_59,35,59,"生後 3 か月の乳児において異常所見はどれか．2 つ選べ． 
ａ　角膜径 12 mm　　　　　　　　　
ｂ　内斜視 40 プリズム　　 
ｃ　選択視法で両眼とも視力 0.05　　
ｄ　両眼 調節麻痺下屈折値＋4.00 D 
ｅ　両眼 非調節麻痺下屈折値－4.00 D "
35_60,35,60,"弱視で正しいのはどれか． 
ａ　弱視の偏心固視は耳側領域が多い． 
ｂ　斜視弱視の治療に斜視手術が有効である． 
ｃ　高度遠視は形態覚遮断弱視の原因となる． 
ｄ　眼振を伴う小児白内障は視力予後不良である． 
ｅ　両眼性小児白内障による弱視は片眼性より難治である． "
35_61,35,61,"9 方向むき眼位検査で，注視方向によって複像間距離が変わらないのはどれか． 
ａ　開散麻痺　　
ｂ　甲状腺眼症　　
ｃ    Duane 症候群　　
ｄ    Brown 症候群　　
ｅ　眼窩吹き抜け骨折 "
35_62,35,62,"微小斜視弱視で正しいのはどれか． 
ａ　不同視は合併しない．　　　　
ｂ　遮閉法によく反応する．　　
ｃ　おおまかな立体視がある． 
ｄ　交代遮閉試験で診断する．　　
ｅ　弱視眼は中心窩固視である． "
35_63,35,63,"sagging eye 症候群の特徴はどれか．2 つ選べ． 
ａ　男性に多い．　　　　　　
ｂ　下転障害を伴う．　　
ｃ　上眼瞼の凹みを伴う． 
ｄ　遠見で内斜視を来す．　　
ｅ　衝動性眼球運動の速度低下を伴う． "
35_64,35,64,"正しいのはどれか． 
ａ　物体色における 3 原色は赤・緑・青である． 
ｂ　石原式色覚検査表では色覚異常の程度判定はできない． 
ｃ　先天色覚異常に対する検査は原則として片眼ずつ行う． 
ｄ　パネル D­15 テストでは 1 つでも誤りがあれば異常と判断される． 
ｅ　色相配列法が正常であれば，アノマロスコープの結果も正常となる． "
35_65,35,65,"青錐体 1 色覚で正しいのはどれか． 
ａ　男女の発症に差はない．　　　　　　
ｂ　乳児期にみつかることが多い． 
ｃ　網膜色素斑を認めることが多い．　　
ｄ　アノマロスコープが診断に有用である． 
ｅ   ERG の flicker 応答は減弱しないことが多い． "
35_66,35,66,"マイヤーループの視野障害で正しいのはどれか． 
ａ　連合暗点　　　　　　　
ｂ　四重分画盲　　
ｃ　楔型同名半盲 
ｄ　黄斑回避型同名半盲　　
ｅ　上方同名半盲（pie in the sky） "
35_67,35,67,"非動脈炎性虚血性視神経症に合併しやすいのはどれか． 
ａ　顎跛行　　
ｂ　白内障　　
ｃ　脳浮腫　　
ｄ　多発性硬化症　　
ｅ　網膜静脈閉塞症 "
35_68,35,68,"視神経炎でみられない所見はどれか． 
ａ　中心暗点　　
ｂ　色覚異常　　
ｃ　瞳孔不同　　
ｄ　対光反射減弱　　
ｅ　限界フリッカ値低下 "
35_69,35,69,"抗ミエリンオリゴデンドロサイト糖蛋白（MOG）抗体陽性視神経炎の特徴はどれか． ａ　女性に多い．　　　　　　　　　
ｂ　高齢者に多い．　　
ｃ　易再発性である． 
ｄ　眼球運動時痛はまれである．　　
ｅ　副腎皮質ステロイドに抵抗性である． "
35_70,35,70,"視力低下と眼球運動障害を同時に来すのはどれか． 
ａ 内側縦束症候群　　　　
ｂ Parinaud 症候群　　
ｃ 眼窩先端部症候群 
ｄ Tolosa­Hunt 症候群　　
ｅ 偽 Foster Kennedy 症候群 "
35_71,35,71,"重症筋無力症で正しいのはどれか．2 つ選べ． 
ａ　日内変動がある．　　　　　　　
ｂ　抗 GQ1b 抗体が陽性である． 
ｃ　神経筋接合部の障害である．　　
ｄ　眼瞼下垂は眼瞼を温めると挙上する． 
ｅ　眼窩 MRI において外眼筋肥大がある． "
35_72,35,72,"上下複視を来しやすい疾患はどれか．2 つ選べ． 
ａ　開散麻痺　　　　
ｂ　核間麻痺　　
ｃ　甲状腺眼症 
ｄ　滑車神経麻痺　　
ｅ　外転神経麻痺 "
35_73,35,73,"近視眼の緑内障で正しいのはどれか． 
ａ　早期から非常に進行が速い． 
ｂ　耳側乳頭部のリムが最も広い． 
ｃ　緑内障の有病率は非近視眼と有意差はない． 
ｄ　乳頭周囲 OCT による網膜厚検査が発見に有用であることが多い． 
ｅ　乳頭周囲網脈絡膜萎縮β域は近視と緑内障の鑑別に有用であることが多い． "
35_74,35,74,"房水産生抑制作用を有するのはどれか．2 つ選べ． 
ａ　ビマトプロスト　　　　　　
ｂ　ドルゾラミド塩酸塩　　
ｃ　ブリモニジン酒石酸塩 
ｄ　リパスジル塩酸塩水和物　　
ｅ　オミデネパグ・イソプロピル "
35_75,35,75,"交感神経受容体に作用する薬剤はどれか．2 つ選べ． 
ａ　ブリンゾラミド　　　　　　
ｂ　ブリモニジン酒石酸塩　　
ｃ　カルテオロール塩酸塩 
ｄ　リパスジル塩酸塩水和物　　
ｅ　オミデネパグ・イソプロピル "
35_76,35,76,"白内障手術併用眼内ドレーン（iStent®）の適応はどれか． 
ａ　中期の落屑緑内障　　　　　　　　　 
ｂ　初期の原発閉塞隅角緑内障 
ｃ    Sturge­Weber 症候群に伴う緑内障　　
ｄ　副腎皮質ステロイドによる小児緑内障 
ｅ　緑内障点眼開始前の原発開放隅角緑内障 "
35_77,35,77,"緑内障性視神経症で障害を受けるのはどれか． 
ａ　視細胞　　
ｂ　双極細胞　　
ｃ　アマクリン細胞　　
ｄ　網膜神経節細胞　　
ｅ　網膜色素上皮細胞 "
35_78,35,78,"原発小児緑内障の特徴でないのはどれか． 
ａ　高眼圧　　
ｂ　小角膜　　
ｃ    Haab 線　　
ｄ　長眼軸長　　
ｅ　隅角発生異常 "
35_79,35,79,"開放隅角緑内障進行の危険因子でないのはどれか． 
ａ　高眼圧　　
ｂ　高血圧　　
ｃ　乳頭出血　　
ｄ　落屑症候群　　
ｅ　薄い角膜厚 "
35_80,35,80,"角膜内皮障害がある症例に対して注意して使用すべき薬剤はどれか． 
ａ　ドルモロール　　　　　　
ｂ　ニプラジロール　　
ｃ　カルテオロール塩酸塩 
ｄ　レボブノロール塩酸塩　　
ｅ　チモロールマレイン酸塩 "
35_81,35,81,"機能的隅角閉塞と眼圧上昇があるが，周辺虹彩前癒着や緑内障性視神経症を認めない状態はどれか．2 つ選べ． 
ａ　原発閉塞隅角症（primary angle closure：PAC） 
ｂ　原発閉塞隅角病（primary angle closure disease：PACD） 
ｃ　原発開放隅角緑内障（primary open angle glaucoma：POAG） 
ｄ　原発閉塞隅角症疑い（primary angle closure suspect：PACS） 
ｅ　原発閉塞隅角緑内障（primary angle closure glaucoma：PACG） "
35_82,35,82,"鈍的外傷により眼球破裂を生じやすい部位はどれか． 
ａ　上直筋付着部　　　
ｂ　下方角膜輪部　　
ｃ　下方眼球赤道部 
ｄ　視神経乳頭周囲　　
ｅ　鼻側眼球赤道部 "
35_83,35,83,"外傷後の眼圧上昇の原因でないのはどれか． 
ａ　隅角離開　　　　
ｂ　泡沫細胞　　
ｃ　毛様体解離 
ｄ　水晶体亜脱臼　　
ｅ　眼内上皮増殖（epithelial downgrowth） "
35_84,35,84,"ボール（あるいはシャトル）が眼窩吹き抜け骨折の要因となるスポーツはどれか． 
ａ　卓球　　
ｂ　野球　　
ｃ　サッカー　　
ｄ　バドミントン　　
ｅ　バレーボール "
35_85,35,85,"外傷性視神経症で正しいのはどれか．2 つ選べ． 
ａ　眉毛外側部強打による反対側の視神経障害である． 
ｂ　相対的瞳孔求心路障害（RAPD）は陰性である． 
ｃ　受傷直後から視神経乳頭が腫脹する． 
ｄ　副腎皮質ステロイドの大量投与を行う． 
ｅ　視神経管開放術を行う． "
35_86,35,86,"角膜提供で正しいのはどれか．2 つ選べ． 
ａ    90 歳以上は提供できない． 
ｂ　被虐待児からの提供はできない． 
ｃ　提供者の承諾があれば遺族の承諾は必要ない． 
ｄ　親族への優先提供は，自殺事例でも可能である． 
ｅ　梅毒反応陽性であっても提供角膜の使用は可能である．"
35_87,35,87,"光学式眼軸長測定装置の測定範囲はどれか． 
ａ　涙液表面から網膜内境界膜　　
ｂ　涙液表面から網膜色素上皮 
ｃ　角膜表面から網膜内境界膜　　
ｄ　角膜表面から網膜色素上皮 
ｅ　角膜表面から網膜外境界膜 "
35_88,35,88,"レーザーによる後発白内障切開術に使用するのはどれか． 
ａ　ビマトプロスト　　　　　
ｂ　カルテオロール塩酸塩 
ｃ　ブリモニジン酒石酸塩　　
ｄ　アプラクロニジン塩酸塩 
ｅ　オミデネパグ・イソプロピル "
35_89,35,89,"角膜移植後の拒絶反応の危険因子で誤っているのはどれか． 
ａ　再移植眼　　　　　　　 
ｂ　緑内障の既往　　
ｃ　アトピー性皮膚炎 
ｄ    8 mm 径未満の移植片　　
ｅ　ヘルペス角膜炎の既往 "
35_90,35,90,"毛様体神経節ブロックを目的として行われる麻酔はどれか．2 つ選べ． 
ａ　球後麻酔　　
ｂ　瞬目麻酔　　
ｃ　点眼麻酔　　
ｄ　テノン囊下麻酔　　
ｅ　眼輪筋内浸潤麻酔 "
35_91,35,91,"眼科で用いられているレーザーのうち最も波長が短いのはどれか． 
ａ Argon　　
ｂ CO2　　
ｃ Diode　　
ｄ Excimer　　
ｅ Nd：YAG "
35_92,35,92,"疾患と術式の組合せで誤っているのはどれか． 
ａ　眼振　　　　　　　　　　Anderson 法 
ｂ　眼窩腫瘍　　　　　　　　Kroenlein 法 
ｃ　眼瞼下垂　　　　　　　　眼瞼挙筋短縮術 
ｄ　鼻涙管閉塞症　　　　　　涙囊鼻腔吻合術 
ｅ　先天眼瞼下垂　　　　　　眼瞼下制筋前転法（Jones 変法） "
